Hierarchy,Source,Order,Available,API Field Name,New?,Field Editability,Data Type,Help Text,Custom Logic,Field Visibility,Location of Field
Brex Contact City,Rollup,0,Brex Contact City,Brex_Contact_City__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for city on the contact. Not editable. View the city input fields below in order to verify source.,,,
,Manual,1,SFDC Override Contact City,SFDC_Override_Contact_city__c,YES,**New override field - editable by everyone,Text(255),"If the city displaying on the contact is incorrect, please use this field to update the main ""contact city"" displaying on the contact record.",,,
,Zoominfo,2,ZoomInfo Contact City,ZoomInfo_Contact_City__c,YES,Editable only by admins,Text(255),Mailing city associated with the contact from ZoomInfo,,,
,LinkedIn,3,LinkedIn Contact City,LinkedIn_Contact_City__c,YES,Editable only by admins,Text(255),Mailing city for contact from LinkedIn.,,,
,Harmonic,4,Harmonic Contact City,Harmonic_Contact_City__c,YES,Editable only by admins,Text(255),Mailing city associated with the contact from Harmonic,,,
,Clay,5,Clay Contact City,Clay_Contact_City__c,YES,Editable only by admins,Text(255),"This city information is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Mailing Address,6,Mailing City,MailingAddress,,Editable only by admins,,Standard mailing address city from Salesforce,,,
,,,,,,,,,,,
Brex Contact State,Rollup,0,Brex Contact State,Brex_Contact_State__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for state on the contact. Not editable. View the city input fields below in order to verify source.,,,
,Manual,1,SFDC Override Contact State,SFDC_Override_Contact_state__c,YES,**New override field - editable by everyone,Text(255),"If the state displaying on the contact is incorrect, please use this field to update the main ""contact state"" displaying on the contact record.",,,
,Zoominfo,2,ZoomInfo Contact State,ZoomInfo_Contact_State__c,YES,Editable only by admins,Text(255),Mailing state associated with the contact from ZoomInfo,,,
,LinkedIn,3,LinkedIn Contact State,LinkedIn_Contact_State__c,YES,Editable only by admins,Text(255),Mailing state for contact from LinkedIn.,,,
,Harmonic,4,Harmonic Contact State,Harmonic_Contact_State__c,YES,Editable only by admins,Text(255),Mailing state associated with the contact from Harmonic,,,
,Clay,5,Clay Contact State,Clay_Contact_State__c,YES,Editable only by admins,Text(255),"This state information is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Mailing Address,6,Mailing State,MailingAddress,,Editable only by admins,,Standard mailing address state from Salesforce,,,
,,,,,,,,,,,
Brex Contact Country,Rollup,0,Brex Contact Country,Brex_Contact_Country__c,YES,Rollup view - LOCKED- NOT Editable,Formula,SoT for country on the contact. Not editable. View the city input fields below in order to verify source.,,,
,Manual,1,SFDC Override Contact Country,SFDC_Override_Contact_country__c,YES,**New override field - editable by everyone,Text(255),"If the country displaying on the contact is incorrect, please use this field to update the main ""contact country"" displaying on the contact record.",,,
,Zoominfo,2,ZoomInfo Contact Country,ZoomInfo_Contact_Country__c,YES,Editable only by admins,Text(255),Mailing country associated with the contact from ZoomInfo,,,
,LinkedIn,3,LinkedIn Contact Country,LinkedIn_Contact_Country__c,YES,Editable only by admins,Text(255),Mailing country for contact from LinkedIn.,,,
,Harmonic,4,Harmonic Contact Country,Harmonic_Contact_Country__c,YES,Editable only by admins,Text(255),Mailing country associated with the contact from Harmonic,,,
,Clay,5,Clay Contact Country,Clay_Contact_Country__c,YES,Editable only by admins,Text(255),"This country information is generated by one of the Clay data providers. To investigate the true source, please log in to Clay or reach out to summer_lindman@brex.com",,,
,Mailing Address,6,Mailing Country,MailingAddress,,Editable only by admins,,Standard mailing address country from Salesforce,,,
,,,,,,,,,,,
Brex Contact Has Moved,Rollup,0,,,,,,,,,ZoomInfo Person Has Moved
